domain,verb,future_targets,percent_of_future_targets
Cooking,pick,208258,13.0636
Cooking,place,179820,11.2797
Cooking,drop,72287,4.5344
Cooking,hold,70074,4.3956
Cooking,pour,57252,3.5913
Cooking,move,52084,3.2671
Cooking,pass,46803,2.9359
Cooking,turn,46692,2.9289
Cooking,add,45165,2.8331
Cooking,stir,45108,2.8295
Cooking,open,42293,2.653
Cooking,cut,35615,2.2341
Cooking,take,25499,1.5995
Cooking,adjust,24348,1.5273
Cooking,close,24275,1.5227
Cooking,transfer,20857,1.3083
Cooking,slice,17985,1.1282
Cooking,put,17766,1.1144
Cooking,scoop,15901,0.9974
Cooking,pack,15317,0.9608
Cooking,remove,14896,0.9344
Cooking,touch,13641,0.8557
Cooking,press,13103,0.8219
Cooking,wipe,13080,0.8205
Cooking,lift,11549,0.7244
Cooking,covers,11314,0.7097
Cooking,rinses,9490,0.5953
Cooking,peels,8968,0.5625
Cooking,shakes,8832,0.554
Cooking,dices,7558,0.4741
Cooking,whisks,7259,0.4553
Cooking,scrapes,7072,0.4436
Cooking,washes,6794,0.4262
Cooking,read,6175,0.3873
Cooking,clean,5879,0.3688
Cooking,hits,5132,0.3219
Cooking,cracks,4774,0.2995
Cooking,dips,4695,0.2945
Cooking,chops,4312,0.2705
Cooking,regulates,4210,0.2641
Cooking,flips,3990,0.2503
Cooking,spreads,3871,0.2428
Cooking,grab,3599,0.2258
Cooking,gathers,3532,0.2216
Cooking,pull,3498,0.2194
Cooking,tilts,3271,0.2052
Cooking,slides,3234,0.2029
Cooking,throws,3214,0.2016
Cooking,checks,3030,0.1901
Cooking,folds,3003,0.1884
Cooking,mixes,2571,0.1613
Cooking,push,2260,0.1418
Cooking,returns,2229,0.1398
Cooking,taps,2166,0.1359
Cooking,tosses,2075,0.1302
Cooking,the,2067,0.1297
Cooking,breaks,1931,0.1211
Cooking,sprinkles,1912,0.1199
Cooking,serves,1853,0.1162
Cooking,gets,1790,0.1123
Cooking,shifts,1707,0.1071
Cooking,grates,1671,0.1048
Cooking,drains,1520,0.0953
Cooking,swirls,1500,0.0941
Cooking,disposes,1497,0.0939
Cooking,squeezes,1359,0.0852
Cooking,raises,1338,0.0839
Cooking,arranges,1337,0.0839
Cooking,tears,1253,0.0786
Cooking,rubs,1238,0.0777
Cooking,lights,1119,0.0702
Cooking,scrubs,1084,0.068
Cooking,studies,1029,0.0645
Cooking,rotates,1011,0.0634
Cooking,use,986,0.0618
Cooking,beats,976,0.0612
Cooking,operates,879,0.0551
Cooking,fetches,818,0.0513
Cooking,gently,754,0.0473
Cooking,switches,697,0.0437
Cooking,crushes,684,0.0429
Cooking,observes,680,0.0427
Cooking,fills,661,0.0415
Cooking,slips,602,0.0378
Cooking,feels,557,0.0349
Cooking,walks,549,0.0344
Cooking,insert,536,0.0336
Cooking,whisk,504,0.0316
Cooking,flicks,504,0.0316
Cooking,releases,490,0.0307
Cooking,mashes,466,0.0292
Cooking,detaches,455,0.0285
Cooking,tilt,453,0.0284
Cooking,rolls,432,0.0271
Cooking,wraps,424,0.0266
Cooking,melts,390,0.0245
Cooking,sprays,386,0.0242
Cooking,bangs,385,0.0242
Cooking,bends,381,0.0239
Cooking,ignites,377,0.0236
Cooking,unfolds,375,0.0235
Cooking,flattens,369,0.0231
Cooking,eats,369,0.0231
Cooking,dusts,368,0.0231
Cooking,fixes,365,0.0229
Cooking,positions,359,0.0225
Cooking,brings,339,0.0213
Cooking,spins,338,0.0212
Cooking,swipes,334,0.021
Cooking,draws,332,0.0208
Cooking,unwraps,316,0.0198
Cooking,separates,302,0.0189
Cooking,plucks,301,0.0189
Cooking,dries,291,0.0183
Cooking,displaces,284,0.0178
Cooking,a,265,0.0166
Cooking,squashes,261,0.0164
Cooking,drys,256,0.0161
Cooking,shreds,249,0.0156
Cooking,scraps,244,0.0153
Cooking,smashes,237,0.0149
Cooking,trashes,207,0.013
Cooking,waits,203,0.0127
Cooking,drinks,196,0.0123
Cooking,straightens,193,0.0121
Cooking,steeps,190,0.0119
Cooking,strains,181,0.0114
Cooking,carries,181,0.0114
Cooking,licks,174,0.0109
Cooking,attempts,174,0.0109
Cooking,dishes,173,0.0109
Cooking,pats,166,0.0104
Cooking,tastes,163,0.0102
Cooking,lays,153,0.0096
Cooking,unscrews,153,0.0096
Cooking,fits,149,0.0093
Cooking,selects,147,0.0092
Cooking,sets,147,0.0092
Cooking,claps,142,0.0089
Cooking,rests,141,0.0088
Cooking,applies,139,0.0087
Cooking,kneads,137,0.0086
Cooking,clears,136,0.0085
Cooking,stops,130,0.0082
Cooking,strikes,127,0.008
